time,f0,frame,rms
5.170068237930536270e-03,2.912496643066406250e+02,1.140000000000000000e+02,4.380941390991210938e-06
5.215419456362724304e-03,2.912496643066406250e+02,1.150000000000000000e+02,1.178681850433349609e-05
5.260771140456199646e-03,2.912496643066406250e+02,1.160000000000000000e+02,3.338232636451721191e-05
5.306122358888387680e-03,2.912496643066406250e+02,1.170000000000000000e+02,4.260241985321044922e-05
5.351474042981863022e-03,2.912496643066406250e+02,1.180000000000000000e+02,4.058703780174255371e-05
5.396825261414051056e-03,2.912496643066406250e+02,1.190000000000000000e+02,3.094971179962158203e-05
5.442176945507526398e-03,2.912496643066406250e+02,1.200000000000000000e+02,2.016872167587280273e-05
5.487528163939714432e-03,2.912496643066406250e+02,1.210000000000000000e+02,8.892267942428588867e-06
5.532879848033189774e-03,2.912496643066406250e+02,1.220000000000000000e+02,7.074326276779174805e-06
5.578231066465377808e-03,2.912496643066406250e+02,1.230000000000000000e+02,3.669410943984985352e-06
5.623582750558853149e-03,2.912496643066406250e+02,1.240000000000000000e+02,1.676753163337707520e-05
5.668934434652328491e-03,2.912496643066406250e+02,1.250000000000000000e+02,3.138557076454162598e-05
5.714285653084516525e-03,2.912496643066406250e+02,1.260000000000000000e+02,5.273520946502685547e-05
5.759637337177991867e-03,2.912496643066406250e+02,1.270000000000000000e+02,5.951896309852600098e-05
5.804988555610179901e-03,2.912496643066406250e+02,1.280000000000000000e+02,5.687028169631958008e-05
5.850340239703655243e-03,2.912496643066406250e+02,1.290000000000000000e+02,3.659352660179138184e-05
5.895691458135843277e-03,2.912496643066406250e+02,1.300000000000000000e+02,1.994147896766662598e-05
5.941043142229318619e-03,2.912496643066406250e+02,1.310000000000000000e+02,4.075467586517333984e-06
5.986394360661506653e-03,2.912496643066406250e+02,1.320000000000000000e+02,8.262693881988525391e-06
6.031746044754981995e-03,2.912496643066406250e+02,1.330000000000000000e+02,1.204013824462890625e-05
6.077097728848457336e-03,2.912496643066406250e+02,1.340000000000000000e+02,2.767518162727355957e-05
6.122448947280645370e-03,2.912496643066406250e+02,1.350000000000000000e+02,4.725530743598937988e-05
6.167800631374120712e-03,2.912496643066406250e+02,1.360000000000000000e+02,6.374716758728027344e-05
6.213151849806308746e-03,2.912496643066406250e+02,1.370000000000000000e+02,6.736069917678833008e-05
6.258503533899784088e-03,2.912496643066406250e+02,1.380000000000000000e+02,4.916265606880187988e-05
6.303854752331972122e-03,2.912496643066406250e+02,1.390000000000000000e+02,1.665577292442321777e-05
6.349206436425447464e-03,2.912496643066406250e+02,1.400000000000000000e+02,6.310641765594482422e-06
6.394557654857635498e-03,2.912496643066406250e+02,1.410000000000000000e+02,1.676380634307861328e-07
6.439909338951110840e-03,2.912496643066406250e+02,1.420000000000000000e+02,9.011477231979370117e-06
6.485260557383298874e-03,2.912496643066406250e+02,1.430000000000000000e+02,1.357123255729675293e-05
6.530612241476774216e-03,2.912496643066406250e+02,1.440000000000000000e+02,1.942738890647888184e-05
6.575963925570249557e-03,2.912496643066406250e+02,1.450000000000000000e+02,1.060217618942260742e-05
6.621315144002437592e-03,2.912496643066406250e+02,1.460000000000000000e+02,1.539662480354309082e-05
6.666666828095912933e-03,2.912496643066406250e+02,1.470000000000000000e+02,1.933053135871887207e-05
6.712018046528100967e-03,2.912496643066406250e+02,1.480000000000000000e+02,3.773719072341918945e-05
6.757369730621576309e-03,2.912496643066406250e+02,1.490000000000000000e+02,5.304440855979919434e-05
6.802720949053764343e-03,2.912496643066406250e+02,1.500000000000000000e+02,3.080442547798156738e-05
6.848072633147239685e-03,2.912496643066406250e+02,1.510000000000000000e+02,3.684312105178833008e-06
6.893423851579427719e-03,2.912496643066406250e+02,1.520000000000000000e+02,9.782612323760986328e-06
6.938775535672903061e-03,2.912496643066406250e+02,1.530000000000000000e+02,3.238767385482788086e-05
6.984126754105091095e-03,2.912496643066406250e+02,1.540000000000000000e+02,4.677847027778625488e-05
7.029478438198566437e-03,2.912496643066406250e+02,1.550000000000000000e+02,5.814433097839355469e-05
7.074830122292041779e-03,2.912496643066406250e+02,1.560000000000000000e+02,5.799531936645507812e-05
7.120181340724229813e-03,2.912496643066406250e+02,1.570000000000000000e+02,8.280202746391296387e-05
7.165533024817705154e-03,2.912496643066406250e+02,1.580000000000000000e+02,9.718164801597595215e-05
7.210884243249893188e-03,2.912496643066406250e+02,1.590000000000000000e+02,1.174882054328918457e-04
7.256235927343368530e-03,2.912496643066406250e+02,1.600000000000000000e+02,1.248642802238464355e-04
7.301587145775556564e-03,2.912496643066406250e+02,1.610000000000000000e+02,1.050718128681182861e-04
7.346938829869031906e-03,2.912496643066406250e+02,1.620000000000000000e+02,8.561089634895324707e-05
7.392290048301219940e-03,2.912496643066406250e+02,1.630000000000000000e+02,7.228180766105651855e-05
7.437641732394695282e-03,2.912496643066406250e+02,1.640000000000000000e+02,3.515556454658508301e-05
7.482993416488170624e-03,2.912496643066406250e+02,1.650000000000000000e+02,1.058354973793029785e-05
7.528344634920358658e-03,2.912496643066406250e+02,1.660000000000000000e+02,4.918500781059265137e-05
7.573696319013834000e-03,2.912496643066406250e+02,1.670000000000000000e+02,4.759058356285095215e-05
7.619047537446022034e-03,2.912496643066406250e+02,1.680000000000000000e+02,8.364394307136535645e-05
7.664399221539497375e-03,2.912496643066406250e+02,1.690000000000000000e+02,9.787455201148986816e-05
7.709750439971685410e-03,2.912496643066406250e+02,1.700000000000000000e+02,3.490597009658813477e-05
7.755102124065160751e-03,2.912496643066406250e+02,1.710000000000000000e+02,3.750622272491455078e-05
7.800453342497348785e-03,2.912496643066406250e+02,1.720000000000000000e+02,8.362904191017150879e-05
7.845805026590824127e-03,2.912496643066406250e+02,1.730000000000000000e+02,9.239092469215393066e-05
7.891156710684299469e-03,2.912496643066406250e+02,1.740000000000000000e+02,8.998811244964599609e-05
7.936508394777774811e-03,2.912496643066406250e+02,1.750000000000000000e+02,8.641183376312255859e-05
7.981859147548675537e-03,2.912496643066406250e+02,1.760000000000000000e+02,9.536743164062500000e-07
8.027210831642150879e-03,2.912496643066406250e+02,1.770000000000000000e+02,6.187707185745239258e-06
8.072562515735626221e-03,2.912496643066406250e+02,1.780000000000000000e+02,4.205480217933654785e-05
8.117914199829101562e-03,2.912496643066406250e+02,1.790000000000000000e+02,1.236200332641601562e-04
8.163264952600002289e-03,2.912496643066406250e+02,1.800000000000000000e+02,2.523437142372131348e-04
8.208616636693477631e-03,2.912496643066406250e+02,1.810000000000000000e+02,2.804100513458251953e-04
8.253968320786952972e-03,2.912496643066406250e+02,1.820000000000000000e+02,2.449303865432739258e-04
8.299320004880428314e-03,2.912496643066406250e+02,1.830000000000000000e+02,1.578740775585174561e-04
8.344670757651329041e-03,2.912496643066406250e+02,1.840000000000000000e+02,9.732320904731750488e-05
8.390022441744804382e-03,2.912496643066406250e+02,1.850000000000000000e+02,4.961341619491577148e-05
8.435374125838279724e-03,2.912496643066406250e+02,1.860000000000000000e+02,2.923235297203063965e-05
8.480725809931755066e-03,2.912496643066406250e+02,1.870000000000000000e+02,1.333653926849365234e-05
8.526077494025230408e-03,2.912496643066406250e+02,1.880000000000000000e+02,1.243799924850463867e-04
8.571428246796131134e-03,2.912496643066406250e+02,1.890000000000000000e+02,2.756528556346893311e-04
8.616779930889606476e-03,2.912496643066406250e+02,1.900000000000000000e+02,4.079826176166534424e-04
8.662131614983081818e-03,2.912496643066406250e+02,1.910000000000000000e+02,3.757178783416748047e-04
8.707483299076557159e-03,2.912496643066406250e+02,1.920000000000000000e+02,2.771466970443725586e-04
8.752834051847457886e-03,2.912496643066406250e+02,1.930000000000000000e+02,1.266449689865112305e-04
8.798185735940933228e-03,2.912496643066406250e+02,1.940000000000000000e+02,6.848201155662536621e-05
8.843537420034408569e-03,2.912496643066406250e+02,1.950000000000000000e+02,5.207955837249755859e-06
8.888889104127883911e-03,2.912496643066406250e+02,1.960000000000000000e+02,7.972493767738342285e-05
8.934240788221359253e-03,2.912496643066406250e+02,1.970000000000000000e+02,7.383897900581359863e-05
8.979591540992259979e-03,2.912496643066406250e+02,1.980000000000000000e+02,2.027936279773712158e-04
